"id","title","jurisdiction","organization"
"316cdc22-7b1c-4aa7-b841-9a2fe3314f67","2012 Baseline Evaluation of Canadian Graphic Health Warning Messages  ","federal","Health Canada | Santé Canada"
"f79b3ec4-5b50-4ec1-894d-e9855148e55d","2012 HIV/AIDS Attitudinal Tracking Survey  ","federal","Public Health Agency of Canada | Agence de la santé publique du Canada"
"ef6aa6eb-8c38-4a54-b8cf-469f810605ba","2012 National Anti-Drug Strategy (NADS) Youth Advertising Recall and Tracking Survey","federal","Health Canada | Santé Canada"
"589ea7cc-ed35-4b3a-8d67-4d32d5083ba4","2013 National Radon Awareness Survey","federal","Health Canada | Santé Canada"
"06033736-6095-4b85-8760-95dd8c209576","2018-2019 Lead Chromates in Spices Data","federal","Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments"
"25119e3e-1584-4bf7-bcf8-7a2330d81e83","2021 Reports of the Auditor General of Canada—Report 3—Access to Safe Drinking Water in First Nations Communities—Indigenous Services Canada","federal","Office of the Auditor General of Canada | Bureau du vérificateur général du Canada"
"86e8b75b-f95c-4068-a34d-aa448c4c1131","Agri-Environmental Indicator – Risk of Water Contamination by Nitrogen","federal","Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada"
"ccdb2980-8893-11e0-8715-6cf049291510","Area Irrigated in Western Canada, 2001","federal","Natural Resources Canada | Ressources naturelles Canada"
"6119f410-c2f6-4856-b112-1f875b21b5f8","Arsenic in Canadians","federal","Health Canada | Santé Canada"
"041766e4-f531-4161-8c87-13e7bd18b897","Arsenic in Drinking Water","federal","Health Canada | Santé Canada"
"1fc55322-0f05-4f50-b769-8d6f2a480ce9","Asbestos","federal","Health Canada | Santé Canada"
"36868800-ca97-4dd8-8891-78ab54ee23bc","Assessment in Support of Changes to the Maximum Level for Arsenic in Fruit Juice and Fruit Nectar","federal","Health Canada | Santé Canada"
