"id","title","jurisdiction","organization"
"d820bbc9-5803-5c77-c9df-5bfaddf8ba51","Canadian Groundwater Level Monitoring Stations and Observations","federal","Natural Resources Canada | Ressources naturelles Canada"
"62de5952-a5eb-4859-b086-22a8ba8024b8","Dynamic Surface Water Maps of Canada from 1984-2019 Landsat Satellite Imagery","federal","Natural Resources Canada | Ressources naturelles Canada"
"c5569a81-2942-4ac4-8eaa-9a9d731b4c79","Extreme Weather Indices: Wind","federal","Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada"
"a7c7fc46-a1d8-4840-b6a7-e0339d969313","Multimodal Safety and Security Programs Oversight Delivery Indicators, by federal government fiscal year quarter, Transport Canada","federal","Statistics Canada | Statistique Canada"
"c9e3f92f-05d8-450f-84ef-ba7ada1097b0","Topography of AAFC and Water Security Agency Dams","federal","Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada"
"bb2c7b2e-3732-4ca7-839a-480429eaa407","Weir Enumerations and Capture-Mark-Recapture Estimates of Population Size for Arctic Char (Salvelinus alpinus) from the Halokvik River, Nunavut","federal","Fisheries and Oceans Canada | Pêches et Océans Canada"
"e7e90f77-6a1b-4b9e-bc3f-650f8fd30ab8","Bollards fountains","municipal","Government and Municipalities of Québec | Gouvernement et municipalités du Québec"
"98ffb80c-422f-433f-ba97-8ad4edce0faf","Fire hydrants","municipal","Government and Municipalities of Québec | Gouvernement et municipalités du Québec"
"cbc3a496-cc0f-4930-bc91-b351373110f6","Limnimetric scales (public)","provincial","Government and Municipalities of Québec | Gouvernement et municipalités du Québec"
"6c73ee9a-2d65-4883-85f0-60184ddbe807","Multi-risk alert card - RSS status feed (dots)","provincial","Government and Municipalities of Québec | Gouvernement et municipalités du Québec"
"bfbdeb1d-8398-444b-ad78-ab81f9d14e60","Quebec Hydrographic Network Geobase (GRHQ)","provincial","Government and Municipalities of Québec | Gouvernement et municipalités du Québec"
"df99bb67-317c-435b-8f9a-50de5fa9729a","Spring 2019 flood mapping","provincial","Government and Municipalities of Québec | Gouvernement et municipalités du Québec"
"1d7d1a92-7cba-438b-9e31-e98dedd2f0b8","Station and flow basin/level-general public","provincial","Government and Municipalities of Québec | Gouvernement et municipalités du Québec"
