"id","title","jurisdiction","organization"
"25119e3e-1584-4bf7-bcf8-7a2330d81e83","2021 Reports of the Auditor General of Canada—Report 3—Access to Safe Drinking Water in First Nations Communities—Indigenous Services Canada","federal","Office of the Auditor General of Canada | Bureau du vérificateur général du Canada"
"9cad712a-5ac5-4248-b7d7-2db1a3892509","Active Floods in Canada","federal","Natural Resources Canada | Ressources naturelles Canada"
"7b210c58-2fc7-47c5-8b8a-2605c77d725c","Active Monitoring of River Ice in Canada","federal","Natural Resources Canada | Ressources naturelles Canada"
"82e66a83-ff76-4bce-95b1-c7355a147c52","Aquatic Connectivity - Jasper","federal","Parks Canada | Parcs Canada"
"f54cdfe0-2155-4e04-ba44-58789fad7889","Average annual runoff in Canada, 1971 to 2013","federal","Statistics Canada | Statistique Canada"
"38597231-b9e9-4c82-b1f7-b32a0f5a0d62","Baseline water quality in the Petitot River Basin and surrounding Watersheds","federal","Environment and Climate Change Canada | Environnement et Changement climatique Canada"
"5997124e-522d-52de-bc82-8785ddec7476","Bedrock hydrogeology","federal","Natural Resources Canada | Ressources naturelles Canada"
"7ee53ca2-8dcd-432f-811e-c651f33055ed","Benthic Invertebrates, Oil Sands Region","federal","Environment and Climate Change Canada | Environnement et Changement climatique Canada"
"53fadd08-c4a0-4f3b-ba2c-eb544e78d230","Briefing package - Appearance of the Auditor General of Canada before the Standing Committee on Public Accounts on Follow-up hearing on 2021 Report 3  — Access to Safe Drinking Water in First Nations Communities – 14 June 2022 ","federal","Office of the Auditor General of Canada | Bureau du vérificateur général du Canada"
"a336e3e0-3b41-4989-9aa5-e76d09c01407","Briefing package - Appearance of the Auditor General of Canada before the Standing Committee on Public Accounts on Report 3—Access to Safe Drinking Water in First Nations Communities—Indigenous Services Canada, of the 2021 Reports of the Auditor General of Canada –  29 April 2021 ","federal","Office of the Auditor General of Canada | Bureau du vérificateur général du Canada"
"40e01423-7728-429c-ac9d-2954385ccdfb","Bulk data files for all years – releases, disposals, transfers and facility locations","federal","Environment and Climate Change Canada | Environnement et Changement climatique Canada"
"13564ca4-e330-40a5-9521-bfb1be767147","CABIN Canadian Aquatic Biomonitoring Network","federal","Environment and Climate Change Canada | Environnement et Changement climatique Canada"
"2888ff57-a21c-448c-a4fa-570c4cabd956","Canada's conserved areas – Conserved areas, Canada","federal","Environment and Climate Change Canada | Environnement et Changement climatique Canada"
"d6c50b70-c0d9-4c0f-90fe-2b5f7d7e2329","Canada's protected areas – Area protected by federal jurisdiction, Canada","federal","Environment and Climate Change Canada | Environnement et Changement climatique Canada"
"d820bbc9-5803-5c77-c9df-5bfaddf8ba51","Canadian Groundwater Level Monitoring Stations and Observations","federal","Natural Resources Canada | Ressources naturelles Canada"
"f57afb37-90c7-4ff0-a757-ba792a4f40a1","Canadian historical snow survey data","federal","Environment and Climate Change Canada | Environnement et Changement climatique Canada"
"d3881c4c-650d-4070-bf9b-1e00aabf0a1d","Canadian Hydrographic Service Non-Navigational (NONNA) Bathymetric Data","federal","Fisheries and Oceans Canada | Pêches et Océans Canada"
"751eacdf-10e1-4a47-b41c-048e21a46da2","CCDR: Volume 46-7/8 -July 2020: Mandatory childhood immunization programs","federal","Public Health Agency of Canada | Agence de la santé publique du Canada"
"2364749d-70a0-4874-956d-a636401ac5a6","CGDI Analysis Ready Data Service Kits","federal","Natural Resources Canada | Ressources naturelles Canada"
"5edf2b99-1058-438a-a450-155e888a5390","Coastal and epipelagic habitats of the St. Lawrence Estuary and Gulf - Database","federal","Fisheries and Oceans Canada | Pêches et Océans Canada"
"3e41de14-5882-4ca3-87f6-51c5ec8d8a37","Copper Redhorse critical habitat in Quebec","federal","Fisheries and Oceans Canada | Pêches et Océans Canada"
"0c55f0b4-2584-412e-92c5-1ae10c358394","Critical habitat boundaries for the American Water-willow (Justicia americana) - Quebec region","federal","Environment and Climate Change Canada | Environnement et Changement climatique Canada"
"e0ffaf05-1db5-4422-abe3-c159bd186306","Critical habitat boundaries of species at risk in Quebec","federal","Environment and Climate Change Canada | Environnement et Changement climatique Canada"
"db177a8c-5d7d-49eb-8290-31e6a45d786c","Critical Habitat of Species at Risk","federal","Fisheries and Oceans Canada | Pêches et Océans Canada"
"06022cc0-a31e-4b4c-850d-d4dccda5f3ac","Database – all data for all years","federal","Environment and Climate Change Canada | Environnement et Changement climatique Canada"
"564677d9-f434-554c-9a98-24e2e949750f","Dates of formation and loss of snow cover","federal","Natural Resources Canada | Ressources naturelles Canada"
"207f9095-2471-4514-97f5-3b031cd3171f","Drinking Water and Your Health","federal","Health Canada | Santé Canada"
"9128b287-7659-49d9-8445-7d69fd5a2d77","Environment Canada Water Level Data, 1850-","federal","Environment and Climate Change Canada | Environnement et Changement climatique Canada"
"0f569306-9d79-43fb-98e0-d2e52947496f","Facility data – total releases by media group","federal","Environment and Climate Change Canada | Environnement et Changement climatique Canada"
"f1da3a6f-3515-447e-9a73-50c8299816ec","Fetch and relative wave exposure indices for the coastal zone of the Newfoundland and Labrador Shelves bioregion","federal","Fisheries and Oceans Canada | Pêches et Océans Canada"
"42478434-e0ac-4f40-a4ac-aec40f161a9c","Fetch and relative wave exposure indices for the coastal zone of the Scotian Shelf-Bay of Fundy bioregion","federal","Fisheries and Oceans Canada | Pêches et Océans Canada"
"273df20a-47ae-42c0-bc58-01e451d4897a","Fishing effort within Significant Benthic Areas in Canada's Atlantic and Eastern Arctic marine waters","federal","Fisheries and Oceans Canada | Pêches et Océans Canada"
"ea0dc8ae-d93c-4e24-9f61-946f1736a26f","Five-year data tables by province, industry and substance – releases","federal","Environment and Climate Change Canada | Environnement et Changement climatique Canada"
"74144824-206e-4cea-9fb9-72925a128189","Floods in Canada - Archive","federal","Natural Resources Canada | Ressources naturelles Canada"
"08b810c2-7c81-40f1-adb1-c32c8a2c9f50","Floods in Canada - Cartographic Product Collection","federal","Natural Resources Canada | Ressources naturelles Canada"
"b1afd8d2-6e14-4ec4-9a09-652221a6cb71","Floods in Canada - Current Year","federal","Natural Resources Canada | Ressources naturelles Canada"
"d1b39de7-e525-4cfa-a605-af38bf174555","Health Canada Analyses of the Radioactive Content of Fish Samples from Canada’s West Coast","federal","Health Canada | Santé Canada"
"da2283de-8893-11e0-ba4a-6cf049291510","Human Activities in Ecosystems - Mining Sites","federal","Natural Resources Canada | Ressources naturelles Canada"
"0c4b0757-8e20-4f7d-b8fb-7df8ae5d93f5","Hydrometric Monitoring, Oil Sands Region","federal","Environment and Climate Change Canada | Environnement et Changement climatique Canada"
"9c96d46e-f45d-450d-9189-7e31b10fcde9","Inventory of macroalgae and benthic macroinvertebrates on the north shore of the Saint-Lawrence Estuary (2019)","federal","Fisheries and Oceans Canada | Pêches et Océans Canada"
"a0039b2e-7847-4d48-8fd8-638677760f8b","Known concentration areas of the Atlantic razor clam in the Estuary and the Gulf of St. Lawrence","federal","Fisheries and Oceans Canada | Pêches et Océans Canada"
"85d6c4c2-6683-4d56-adf4-8cacef2676be","Land Use Atlas for Coastal Watersheds in the Maritimes Region","federal","Fisheries and Oceans Canada | Pêches et Océans Canada"
"7173c16e-e807-4807-b807-81d6f9cf6a51","Mainstem Athabasca River Benthic Macroinvertebrates – Oil Sands Region","federal","Environment and Climate Change Canada | Environnement et Changement climatique Canada"
"c23b46e2-e723-4416-bd82-de2cbad85e07","Map of reporting facilities – geodatabase","federal","Environment and Climate Change Canada | Environnement et Changement climatique Canada"
"274ede77-27b9-46b8-96c8-4d7d4a706f08","Maps of reporting facilities – criteria air contaminants","federal","Environment and Climate Change Canada | Environnement et Changement climatique Canada"
"6ab784be-1197-4820-8bc2-fd20da32632c","Maps of reporting facilities – disposals and transfers","federal","Environment and Climate Change Canada | Environnement et Changement climatique Canada"
"3b7dd693-52dc-4e55-828f-37c8172f009b","Maps of reporting facilities – facility location","federal","Environment and Climate Change Canada | Environnement et Changement climatique Canada"
"22abff18-6f9d-4926-b7de-3a80c178bf95","Maps of reporting facilities – total releases to air (non-CAC)","federal","Environment and Climate Change Canada | Environnement et Changement climatique Canada"
"49deb8b2-10a6-4b4a-ad7c-9cbc2eda260b","Maps of reporting facilities – total releases to land","federal","Environment and Climate Change Canada | Environnement et Changement climatique Canada"
"94a51051-ad11-499a-b5f1-8c97b29f695c","Maps of reporting facilities – total releases to water","federal","Environment and Climate Change Canada | Environnement et Changement climatique Canada"
"d9be6bec-47e5-4835-8d01-d2875a8d67ff","Maps of reporting facilities – virtual globe format","federal","Environment and Climate Change Canada | Environnement et Changement climatique Canada"
"d6e61d8f-8893-11e0-b987-6cf049291510","Marine Transportation Infrastructure - Harbours (2006)","federal","Natural Resources Canada | Ressources naturelles Canada"
"d6c5280f-8893-11e0-988d-6cf049291510","Marine Transportation Infrastructure - Ports (2006)","federal","Natural Resources Canada | Ressources naturelles Canada"
"fe584f1a-c178-5be4-a316-c5df2793c883","Mean January daily temperature","federal","Natural Resources Canada | Ressources naturelles Canada"
"6ceba940-efaa-4994-bee7-3ea1930bedad","Metal and Diamond Mining Effluent Regulations compliance data","federal","Environment and Climate Change Canada | Environnement et Changement climatique Canada"
"0e338f52-25e4-465c-8104-bb9d7c8d3df3","Meteorological Station (MET) of the Phoenix Mission","federal","Canadian Space Agency | Agence spatiale canadienne"
"be54680b-ea62-46f3-aaa9-7644ed970aef","Modern treaties","federal","Crown-Indigenous Relations and Northern Affairs Canada | Relations Couronne-Autochtones et Affaires du Nord Canada"
"741f9aee-555d-4ec1-a8fe-3a550a9d5ecf","Native Amphibians - Pacific Rim","federal","Parks Canada | Parcs Canada"
"6cda0f8d-110e-423d-8d7a-bf8a40eaa26e","Nearshore Bottom Patches for Pacific Canada. Version 1.0","federal","Fisheries and Oceans Canada | Pêches et Océans Canada"
"9fd7d004-970c-11eb-a2f3-1860247f53e3","Northern bottlenose whale important habitat in inter-canyon areas on the eastern Scotian Shelf","federal","Fisheries and Oceans Canada | Pêches et Océans Canada"
"8bd80fda-1f1f-4112-be08-8f4f3763fc1b","Optical, chemical, and biological oceanographic conditions on the Scotian Shelf and in the eastern Gulf of Maine in 2012","federal","Fisheries and Oceans Canada | Pêches et Océans Canada"
"66aa542f-ec6a-4b12-a354-c1f93d20b596","Optical, chemical, and biological oceanographic conditions on the Scotian Shelf and in the eastern Gulf of Maine in 2013","federal","Fisheries and Oceans Canada | Pêches et Océans Canada"
"cfe8638c-a269-4fff-ab94-c7a21a74e32b","Optical, chemical, and biological oceanographic conditions on the Scotian Shelf and in the eastern Gulf of Maine in 2014","federal","Fisheries and Oceans Canada | Pêches et Océans Canada"
"f8c4efc1-ca70-486c-8ee0-32471f49e9a9","Optical, chemical, and biological oceanographic conditions on the Scotian Shelf and in the eastern Gulf of Maine in 2015","federal","Fisheries and Oceans Canada | Pêches et Océans Canada"
"07c79188-8d30-4c05-81a4-27126b74fc17","Optical, chemical, and biological oceanographic conditions on the Scotian Shelf and in the eastern Gulf of Maine in 2016","federal","Fisheries and Oceans Canada | Pêches et Océans Canada"
"b1db901c-fa4e-405f-8baa-02b7ff71fdb6","Our Health, Our Environment: A Snapshot of Environmental Health in Canada","federal","Health Canada | Santé Canada"
"a57d5eef-e482-4c05-bcd5-56a0f15b9f02","Program Activity Tracking for Habitat (PATH) system","federal","Fisheries and Oceans Canada | Pêches et Océans Canada"
"698cd2f2-8ab1-4b17-8d3c-9520cabe2c50","Protected Habitat Indicators - Protected area by IUCN category, Canada, 2013","federal","Environment and Climate Change Canada | Environnement et Changement climatique Canada"
"ef2161a8-b01d-4dfb-ad00-1a70f7c4073b","Real Time Hydrometric Data Tool","federal","Environment and Climate Change Canada | Environnement et Changement climatique Canada"
"5e6b40bf-299f-4e05-87c8-d10b9c8210f9","River Ice in Canada - Archive","federal","Natural Resources Canada | Ressources naturelles Canada"
"8ca6f047-ddef-43d7-81c2-47654f4c69bd","River Ice in Canada - Current Year","federal","Natural Resources Canada | Ressources naturelles Canada"
