"id","title","jurisdiction","organization"
"51aa364d-d92b-433f-a836-90db9cf284e4","Aboriginal Ancestry Responses (73), Single and Multiple Aboriginal Ancestry Responses (4), Residence on or off Reserve (3), Residence Inside or Outside Inuit Nunangat (7), Age (8A) and Sex (3) for the Population in Private Households of Canada, Provinces and Territories, 2016 Census - 25% Sample Data","federal","Statistics Canada | Statistique Canada"
"e70ffe70-8893-11e0-b1a6-6cf049291510","Aboriginal Cultural Areas (Nunavut)","federal","Natural Resources Canada | Ressources naturelles Canada"
"82e5907b-2863-452f-9840-1d1639665392","Aboriginal Identity (5), Condition of Dwelling (4), Number of Persons per Room (5), Age Groups (7), Sex (3) and Inuit Area of Residence (11) for the Population in Private Households of Canada, Provinces and Territories, 2006 Census - 20% Sample Data","federal","Statistics Canada | Statistique Canada"
"c9e059dd-1040-4dcb-8fc4-db5b70c232f3","Aboriginal Identity (5), Selected Language Characteristics (21), Age Groups (12), Sex (3) and Inuit Area of Residence (11) for Population of Canada, Provinces, Territories, 2006 Census - 20% Sample Data","federal","Statistics Canada | Statistique Canada"
"467054dc-529b-4cd5-930a-fb74e9541532","Aboriginal Identity (8), Age Groups (20), Area of Residence: Inuit Nunangat (7) and Sex (3) for the Population in Private Households of Canada, Provinces and Territories, 2011 National Household Survey","federal","Statistics Canada | Statistique Canada"
"522b07b9-78e2-4819-b736-ad9208eb1067","Aboriginal Lands of Canada Legislative Boundaries","federal","Natural Resources Canada | Ressources naturelles Canada"
"32964e71-a7ac-47d8-b961-158afbdbd5c4","Aboriginal peoples survey, harvesting activities by age group and sex, Inuit population aged 15 years and over, Canada and Inuit Nunangat","federal","Statistics Canada | Statistique Canada"
"8e385cdb-9115-410b-9de6-1b622e9f3ea1","Aboriginal peoples survey, making handcrafted goods by age group and sex, Inuit population aged 15 years and over, Canada and Inuit Nunangat","federal","Statistics Canada | Statistique Canada"
"640675b8-1a72-4d60-9cb3-034454c8270a","Aboriginal peoples survey, reasons for harvesting, by age group and sex, Inuit population aged 15 years and over, Canada and Inuit Nunangat","federal","Statistics Canada | Statistique Canada"
"4224c8c3-01d5-4289-b063-a7bdbba6c19e","Aboriginal peoples survey, reasons for making handcrafted goods, by age group and sex, Inuit population aged 15 years and over, Canada and Inuit Nunangat","federal","Statistics Canada | Statistique Canada"
"3ca85ab5-9e87-50e7-8add-9d294e67a208","Aboriginal Population","federal","Natural Resources Canada | Ressources naturelles Canada"
"dafc420f-8893-11e0-aa59-6cf049291510","Aboriginal Population and Forested Areas","federal","Natural Resources Canada | Ressources naturelles Canada"
"e883b2ae-8893-11e0-a0e5-6cf049291510","Aboriginal Population, 2001","federal","Natural Resources Canada | Ressources naturelles Canada"
"70ee4d7a-449b-56c2-975b-53dbecbe2fa4","Aboriginal Population, 2001","federal","Natural Resources Canada | Ressources naturelles Canada"
"23bbd14d-e312-578c-90a6-c2661f43b433","Aborigines of Canada, Alaska and Greenland","federal","Natural Resources Canada | Ressources naturelles Canada"
"03e2c90b-6e96-5ff8-ae32-57422a74912f","Aborigines of Canada, Alaska and Greenland","federal","Natural Resources Canada | Ressources naturelles Canada"
"c63e8956-bd01-498b-875e-25fcfa544ee9","Access to and use of health care services, Inuit population, by Inuit region of residence","federal","Statistics Canada | Statistique Canada"
"2a5bb2ca-2ae1-43fc-9650-2cfc94d20e62","Air transportation safety investigation report A20Q0013","federal","Transportation Safety Board of Canada | Bureau de la sécurité des transports du Canada"
"3bee8be4-6eb9-43b5-953c-6a208f250d0d","Annual progress report on the implementation of the United Nations Declaration on the Rights of Indigenous Peoples Act","federal","Department of Justice Canada | Ministère de la Justice Canada"
"7e6c2c1c-10c3-4189-a65c-1d87fc4948f7","Annual Report to Parliament 2020","federal","Indigenous Services Canada | Services aux Autochtones Canada"
"bf012a22-891d-444c-aa40-45d7e38eb07e","Birth-related indicators (low and high birth weight, small and large for gestational age, pre-term births), by sex, five-year period, Canada and Inuit regions","federal","Statistics Canada | Statistique Canada"
"e8458f51-fed4-5bd0-99ea-21ce9129fe10","Canada-Indian and Inuit Communities Atlantic Provinces","federal","Natural Resources Canada | Ressources naturelles Canada"
"57185fef-124b-5e51-b4d9-e991da449b90","Canada-Indian and Inuit Communities British Columbia","federal","Natural Resources Canada | Ressources naturelles Canada"
"297206de-6340-5728-a1e5-ce3b50609554","Canada-Indian and Inuit Communities Northwest Territories and Yukon Territory","federal","Natural Resources Canada | Ressources naturelles Canada"
"17715beb-0c06-5fed-bd74-3e8a8d55e19e","Canada-Indian and Inuit Communities Prairie Provinces","federal","Natural Resources Canada | Ressources naturelles Canada"
"bceb365f-78c1-5c0c-9ded-a1e98dfe0368","Canada-Indian and Inuit Communities Quebec","federal","Natural Resources Canada | Ressources naturelles Canada"
"504b93a7-b9f1-5b41-b4ae-c79886aec780","Canada-Indian and Inuit Communities-Ontario","federal","Natural Resources Canada | Ressources naturelles Canada"
"70bdc6f3-95cf-4632-a126-0102bb21be73","CCDR: Volume 41-03, March 5, 2015: Public health issues in remote areas","federal","Public Health Agency of Canada | Agence de la santé publique du Canada"
"060c36be-d2eb-4fb2-a10b-460555265ea0","CCDR: Volume 44-3/4, March 1, 2018: Can we eliminate Tuberculosis?","federal","Public Health Agency of Canada | Agence de la santé publique du Canada"
"ddfe93fb-9465-43e2-bc36-e1b1e46ab1a9","CCDR: Volume 45-7/8 - Joint July-August Issue - July 4, 2019: Zoonotic diseases","federal","Public Health Agency of Canada | Agence de la santé publique du Canada"
