"id","title","jurisdiction","organization"
"316cdc22-7b1c-4aa7-b841-9a2fe3314f67","2012 Baseline Evaluation of Canadian Graphic Health Warning Messages  ","federal","Health Canada | Santé Canada"
"f79b3ec4-5b50-4ec1-894d-e9855148e55d","2012 HIV/AIDS Attitudinal Tracking Survey  ","federal","Public Health Agency of Canada | Agence de la santé publique du Canada"
"ef6aa6eb-8c38-4a54-b8cf-469f810605ba","2012 National Anti-Drug Strategy (NADS) Youth Advertising Recall and Tracking Survey","federal","Health Canada | Santé Canada"
"589ea7cc-ed35-4b3a-8d67-4d32d5083ba4","2013 National Radon Awareness Survey","federal","Health Canada | Santé Canada"
"027f23b8-2dd7-4325-a264-51a3ec0022ef",NA,NA,NA
"8c08d0b5-f640-489f-a111-c44fa3f9c678",NA,NA,NA
"25119e3e-1584-4bf7-bcf8-7a2330d81e83","2021 Reports of the Auditor General of Canada—Report 3—Access to Safe Drinking Water in First Nations Communities—Indigenous Services Canada","federal","Office of the Auditor General of Canada | Bureau du vérificateur général du Canada"
"161ba1f7-c927-480f-8fe7-11332fda996a",NA,NA,NA
"beb8f7c0-9c5b-452a-a6aa-eb8f528cfb7d",NA,NA,NA
"3f42649b-4480-4202-8197-d71042104af4",NA,NA,NA
"e4f3870f-8893-11e0-a56a-6cf049291510",NA,NA,NA
"9cf6cd5e-215a-441c-ac2f-e4e85ea0e72c",NA,NA,NA
"3f86826b-2d74-4464-b6c5-67e30401cd76",NA,NA,NA
"b3ba4aeb-bb49-4a4b-955b-6891c57662e5",NA,NA,NA
"7e9725b6-fa51-4c6f-8fcd-d550babede1e",NA,NA,NA
"3ca85ab5-9e87-50e7-8add-9d294e67a208",NA,NA,NA
"70ee4d7a-449b-56c2-975b-53dbecbe2fa4",NA,NA,NA
"dfb7ce4f-8893-11e0-9f97-6cf049291510",NA,NA,NA
"dff48930-8893-11e0-bf98-6cf049291510",NA,NA,NA
"dfc34000-8893-11e0-8ce1-6cf049291510",NA,NA,NA
