"id","title","jurisdiction","organization"
"657a981c-831e-4849-b056-8385b50bcc9e","    Search    X        Polybrominated diphenyl ethers in fish and sediment – PBDE subgroup concentrations in fish relative to guidelines by drainage regions, Canada ","federal","Environment and Climate Change Canada | Environnement et Changement climatique Canada"
"5629d9ae-ee81-46bb-8a55-a8c90917d87c","    Search    X        Polybrominated diphenyl ethers in fish and sediment – PentaBDE concentrations in Lake Trout from Lake Ontario, Canada","federal","Environment and Climate Change Canada | Environnement et Changement climatique Canada"
"33c69ef3-1020-4a93-bfe4-39da801a6f1d"," Lake of the Woods Water Quality Initiative: Phosphorus","federal","Environment and Climate Change Canada | Environnement et Changement climatique Canada"
"4d100a02-1494-452f-9f77-84258b26e1cd"," Water Quality Remote Sensing","federal","Environment and Climate Change Canada | Environnement et Changement climatique Canada"
"87a16208-f1fd-418c-a818-b48aef5be2f1"," Zebra mussel densities, shell free dry mass and sample site information in Lake Winnipeg 2017-2019","federal","Environment and Climate Change Canada | Environnement et Changement climatique Canada"
"ac4d7703-1dee-4eb9-b71d-65bcd5427157","Acid Sensitive Lakes, Atlantic Canada","federal","Environment and Climate Change Canada | Environnement et Changement climatique Canada"
"dd7f2e18-e1dd-4da3-bb83-ed7bbf7ede20","Acid Sensitive Lakes, Oil Sands Region","federal","Environment and Climate Change Canada | Environnement et Changement climatique Canada"
"9cad712a-5ac5-4248-b7d7-2db1a3892509","Active Floods in Canada","federal","Natural Resources Canada | Ressources naturelles Canada"
"7b210c58-2fc7-47c5-8b8a-2605c77d725c","Active Monitoring of River Ice in Canada","federal","Natural Resources Canada | Ressources naturelles Canada"
"471736af-e236-444a-9888-b4d99052c927","Acute lethality test results from wastewater systems subject to the Wastewater Systems Effluent Regulations","federal","Environment and Climate Change Canada | Environnement et Changement climatique Canada"
"d8616c52-a812-44ad-8754-7bcc0d8de305","Adjusted daily rainfall and snowfall dataset for Canada","federal","Environment and Climate Change Canada | Environnement et Changement climatique Canada"
"e996d9be-6a3b-4059-9afc-17dc68385f05","Agri-Environmental Indicators (AEI) - 2011","federal","Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada"
"bd7689d5-c2ce-4671-b009-6502c89aab64","Agro-Pedological Atlas of Quebec","federal","Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada"
"686a92e4-f9c5-4901-a4ba-40c601aec32e","Air pollutant emissions – Ammonia emissions by facility, Canada","federal","Environment and Climate Change Canada | Environnement et Changement climatique Canada"
"10fe5551-bc87-488f-9c3d-8da28c727044","Air pollutant emissions – Carbon monoxide emissions by facility, Canada","federal","Environment and Climate Change Canada | Environnement et Changement climatique Canada"
"f6660f68-5e78-47b3-9306-9805e1d3d6e9","Air pollutant emissions – Fine particulate matter emissions by facility, Canada","federal","Environment and Climate Change Canada | Environnement et Changement climatique Canada"
"fd4573c5-1d38-448c-8761-cdfcb3c5695b","Air pollutant emissions – Nitrogen oxide emissions by facility, Canada","federal","Environment and Climate Change Canada | Environnement et Changement climatique Canada"
"f7b42d5c-40b7-4b82-9b24-8d2011b9eef5","Air pollutant emissions – Respirable particulate matter emissions by facility, Canada","federal","Environment and Climate Change Canada | Environnement et Changement climatique Canada"
"f4fb2aee-2d1b-4c75-aea1-2a7760cc4b58","Air pollutant emissions – Sulphur oxide emissions by facility, Canada","federal","Environment and Climate Change Canada | Environnement et Changement climatique Canada"
"2606b1b4-c895-4d23-b466-ad3d64b6381e","Air pollutant emissions – Total particulate matter emissions by facility, Canada","federal","Environment and Climate Change Canada | Environnement et Changement climatique Canada"
"aed50dbf-aa22-40e3-b500-b4f972f3cace","Air pollutant emissions – Volatile organic compound emissions by facility, Canada","federal","Environment and Climate Change Canada | Environnement et Changement climatique Canada"
"7c8a7b95-9877-4c31-a78e-716e680a1806","Air quality – Ambient volatile organic compound concentrations at monitoring stations, Canada","federal","Environment and Climate Change Canada | Environnement et Changement climatique Canada"
"c63ee09d-dc19-46d7-b8f4-0494e15c62b4","Air quality – Average ambient nitrogen dioxide concentrations at monitoring stations, Canada","federal","Environment and Climate Change Canada | Environnement et Changement climatique Canada"
"317a24db-49c2-4b0d-bdfd-4de1334fae76","Air quality – Average ambient ozone concentrations at monitoring stations, Canada","federal","Environment and Climate Change Canada | Environnement et Changement climatique Canada"
"5f1b78ab-999a-41f0-82e9-351d236010ca","Air quality – Average ambient sulphur dioxide concentrations at monitoring stations, Canada","federal","Environment and Climate Change Canada | Environnement et Changement climatique Canada"
